name,url,standard,address,id,result(total),result(error),result(warning),result(notice)
Great Barford Surgery,http://greatbarfordsurgery.co.uk,WCAG2AAA,MK44 3HX,5d290b42edf8287f0f23ba6a,722,9,376,337
Putnoe Medical Centre Partnership,http://www.putnoemedicalcentre.co.uk,WCAG2AAA,MK41 9JE,5d290b42edf8287f0f23ba6b,724,13,375,336
Goldington Avenue Surgery,http://goldingtonavenuesurgery.co.uk,WCAG2AAA,MK40 3DB,5d290b42edf8287f0f23ba6c,743,8,384,351
The De Parys Group – Pemberley branch,http://www.thedeparysgroup.co.uk,WCAG2AAA,MK40 2LA,5d290b42edf8287f0f23ba6d,726,12,374,340
Rothesay Surgery,http://www.rothesaysurgery.co.uk/,WCAG2AAA,MK40 3PX,5d290b42edf8287f0f23ba6e,729,8,378,343
The De Parys Group - De Parys Branch,http://www.thedeparysgroup.co.uk/,WCAG2AAA,MK40 2TX,5d290b42edf8287f0f23ba6f,749,35,374,340
London Road Health Centre,http://www.londonroadsurgery.co.uk,WCAG2AAA,MK42 0NT,5d290b42edf8287f0f23ba70,727,9,378,340
Lakeside Health Care at Eaton Socon,http://www.eatonsoconhealthcentre.co.uk,WCAG2AAA,PE19 8BB,5d290b42edf8287f0f23ba71
Priory Medical Centre,http://www.priorymed.nhs.uk/,WCAG2AAA,CV34 4UN,5d290b42edf8287f0f23ba72
Cauldwell Medical Centre,http://www.cauldwellmedicalcentre.com/,WCAG2AAA,MK42 9DJ,5d290b42edf8287f0f23ba73,144,27,25,92
Shortstown Medical Centre,http://www.shortstown.net,WCAG2AAA,MK42 0UF,5d290b42edf8287f0f23ba74,721,7,376,338
London Road Surgery,http://www.canterburymedicalpractice.nhs.uk/,WCAG2AAA,CT2 8SG,5d290b42edf8287f0f23ba75,244,20,82,142
Sandy Health Centre,http://www.sandyhealthcentre.nhs.uk,WCAG2AAA,SG19 1JQ,5d290b42edf8287f0f23ba76,392,175,28,189
"Shannon Court Surgery, Sandy",http://www.shannoncourtsurgery.co.uk,WCAG2AAA,SG19 1AG,5d290b42edf8287f0f23ba77,218,61,29,128
St Neots Health Centre,http://www.mhstneots.co.uk,WCAG2AAA,PE19 1AG,5d290b42edf8287f0f23ba78,231,46,42,143
Great Staughton Surgery,http://www.great-staughton-surgery.co.uk/,WCAG2AAA,PE19 5DA,5d290b42edf8287f0f23ba79,249,63,65,121
Cater Street Surgery,http://www.caterstreetsurgery.nhs.uk,WCAG2AAA,MK42 8DR,5d290b42edf8287f0f23ba7a,205,6,61,138
The De Parys Group – Bromham Branch,https://www.deparysmedical@nhs.net,WCAG2AAA,MK43 8JT,5d290b42edf8287f0f23ba7b
Drs Taylor Bacon & Wrigley,http://www.almondroadsurgery.org.uk,WCAG2AAA,PE19 1DZ,5d290b42edf8287f0f23ba7c,275,52,122,101
King Street Surgery,http://www.kingstreetsurgery.co.uk,WCAG2AAA,MK42 8QD,5d290b42edf8287f0f23ba7d,723,9,380,334
The Village Medical Ctr,http://www.gtdenham.org/practiceinfo.php,WCAG2AAA,MK40 4GH,5d290b42edf8287f0f23ba7e,4,3,0,1
St John's Street Surgery,http://www.stjohnsurgerykempston.co.uk,WCAG2AAA,MK42 8EP,5d290b42edf8287f0f23ba7f
Sharnbrook Surgery,http://www.sharnbrooksurgery.co.uk,WCAG2AAA,MK44 1PZ,5d290b42edf8287f0f23ba80,720,8,373,339
Buckden and Little Paxton Surgery,http://www.bandlp.co.uk,WCAG2AAA,PE19 6EY,5d290b42edf8287f0f23ba81,340,27,122,191
Wilstead Branch Surgery,http://www.oliverstreetsurgery.co.uk,WCAG2AAA,MK45 3DB,5d290b42edf8287f0f23ba82,340,8,125,207
Kimbolton Medical Centre,http://www.kimboltonmedicalcentre.nhs.uk,WCAG2AAA,PE28 0JF,5d290b42edf8287f0f23ba83,216,25,69,122
Ivel Medical Centre,http://www.ivelmedicalcentre.co.uk,WCAG2AAA,SG18 0RA,5d290b42edf8287f0f23ba84,250,69,48,133
Wootton Vale Healthy Living Centre,http://www.woottonvale.com/,WCAG2AAA,MK43 9JJ,5d290b42edf8287f0f23ba85,724,8,373,343
Saffron Road Surgery,https://www.saffronhealthpartnership.nhs.uk/,WCAG2AAA,SG18 8DJ,5d290b42edf8287f0f23ba86,622,269,27,326
Dr Heslop & Partners,http://www.greensands.org.uk/,WCAG2AAA,SG19 3JR,5d290b42edf8287f0f23ba87,152,31,30,91
Buckden And Little Paxton Surgeries,http://www.bandlp.co.uk,WCAG2AAA,PE19 5SZ,5d290b42edf8287f0f23ba88,340,27,122,191
Dr Kirkham & Partners,https://www.saffronhealthpartnership.nhs.uk/,WCAG2AAA,SG18 9QA,5d290b42edf8287f0f23ba89,622,269,27,326
