name,url,standard,address,task,result(total),result(error),result(warning),result(notice)
Great Barford Surgery,http://greatbarfordsurgery.co.uk,WCAG2AA,MK44 3HX,5d06a9b2e0673f62602f4ea7,725,12,374,339
Putnoe Medical Centre Partnership,http://www.putnoemedicalcentre.co.uk,WCAG2AA,MK41 9JE,5d06a9b2e0673f62602f4ea8,714,7,373,334
Goldington Avenue Surgery,http://goldingtonavenuesurgery.co.uk,WCAG2AA,MK40 3DB,5d06a9b2e0673f62602f4ea9,743,8,382,353
The De Parys Group – Pemberley branch,http://www.thedeparysgroup.co.uk,WCAG2AA,MK40 2LA,5d06a9b2e0673f62602f4eaa,752,40,372,340
Rothesay Surgery,http://www.rothesaysurgery.co.uk/,WCAG2AA,MK40 3PX,5d06a9b2e0673f62602f4eab,728,12,376,340
The De Parys Group - De Parys Branch,http://www.thedeparysgroup.co.uk/,WCAG2AA,MK40 2TX,5d06a9b2e0673f62602f4eac,746,34,372,340
London Road Health Centre,http://www.londonroadsurgery.co.uk,WCAG2AA,MK42 0NT,5d06a9b2e0673f62602f4ead,755,38,376,341
Lakeside Health Care at Eaton Socon,http://www.eatonsoconhealthcentre.co.uk,WCAG2AA,PE19 8BB,5d06a9b2e0673f62602f4eae
Priory Medical Centre,http://www.priorymed.nhs.uk/,WCAG2AA,CV34 4UN,5d06a9b2e0673f62602f4eaf,253,51,53,149
Cauldwell Medical Centre,http://www.cauldwellmedicalcentre.com/,WCAG2AA,MK42 9DJ,5d06a9b2e0673f62602f4eb0,144,27,25,92
Shortstown Medical Centre,http://www.shortstown.net,WCAG2AA,MK42 0UF,5d06a9b2e0673f62602f4eb1,722,21,370,331
London Road Surgery,http://www.canterburymedicalpractice.nhs.uk/,WCAG2AA,CT2 8SG,5d06a9b2e0673f62602f4eb2,256,20,84,152
Sandy Health Centre,http://www.sandyhealthcentre.nhs.uk,WCAG2AA,SG19 1JQ,5d06a9b2e0673f62602f4eb3,392,175,28,189
"Shannon Court Surgery, Sandy",http://www.shannoncourtsurgery.co.uk,WCAG2AA,SG19 1AG,5d06a9b2e0673f62602f4eb4,214,59,29,126
St Neots Health Centre,http://www.mhstneots.co.uk,WCAG2AA,PE19 1AG,5d06a9b2e0673f62602f4eb5,226,45,41,140
Great Staughton Surgery,http://www.great-staughton-surgery.co.uk/,WCAG2AA,PE19 5DA,5d06a9b2e0673f62602f4eb6,246,62,63,121
Cater Street Surgery,http://www.caterstreetsurgery.nhs.uk,WCAG2AA,MK42 8DR,5d06a9b2e0673f62602f4eb7,205,6,61,138
The De Parys Group – Bromham Branch,https://www.deparysmedical@nhs.net,WCAG2AA,MK43 8JT,5d06a9b2e0673f62602f4eb8
