name,url,standard
Great Barford Surgery,http://greatbarfordsurgery.co.uk,WCAG2AAA
Putnoe Medical Centre Partnership,http://www.putnoemedicalcentre.co.uk,WCAG2AAA
Goldington Avenue Surgery,http://goldingtonavenuesurgery.co.uk,WCAG2AAA
The De Parys Group – Pemberley branch,http://www.thedeparysgroup.co.uk,WCAG2AAA
Rothesay Surgery,http://www.rothesaysurgery.co.uk/,WCAG2AAA
The De Parys Group - De Parys Branch,http://www.thedeparysgroup.co.uk/,WCAG2AAA
London Road Health Centre,http://www.londonroadsurgery.co.uk,WCAG2AAA
Lakeside Health Care at Eaton Socon,http://www.eatonsoconhealthcentre.co.uk,WCAG2AAA
Priory Medical Centre,http://www.priorymed.nhs.uk/,WCAG2AAA
Cauldwell Medical Centre,http://www.cauldwellmedicalcentre.com/,WCAG2AAA
Shortstown Medical Centre,http://www.shortstown.net,WCAG2AAA
London Road Surgery,http://www.canterburymedicalpractice.nhs.uk/,WCAG2AAA
Sandy Health Centre,http://www.sandyhealthcentre.nhs.uk,WCAG2AAA
"Shannon Court Surgery, Sandy",http://www.shannoncourtsurgery.co.uk,WCAG2AAA
St Neots Health Centre,http://www.mhstneots.co.uk,WCAG2AAA
Great Staughton Surgery,http://www.great-staughton-surgery.co.uk/,WCAG2AAA
Cater Street Surgery,http://www.caterstreetsurgery.nhs.uk,WCAG2AAA
The De Parys Group – Bromham Branch,https://www.deparysmedical@nhs.net,WCAG2AAA
Drs Taylor Bacon & Wrigley,http://www.almondroadsurgery.org.uk,WCAG2AAA
King Street Surgery,http://www.kingstreetsurgery.co.uk,WCAG2AAA
The Village Medical Ctr,http://www.gtdenham.org/practiceinfo.php,WCAG2AAA
St John's Street Surgery,http://www.stjohnsurgerykempston.co.uk,WCAG2AAA
Sharnbrook Surgery,http://www.sharnbrooksurgery.co.uk,WCAG2AAA
Buckden and Little Paxton Surgery,http://www.bandlp.co.uk,WCAG2AAA
Wilstead Branch Surgery,http://www.oliverstreetsurgery.co.uk,WCAG2AAA
Kimbolton Medical Centre,http://www.kimboltonmedicalcentre.nhs.uk,WCAG2AAA
Ivel Medical Centre,http://www.ivelmedicalcentre.co.uk,WCAG2AAA
Wootton Vale Healthy Living Centre,http://www.woottonvale.com/,WCAG2AAA
Saffron Road Surgery,https://www.saffronhealthpartnership.nhs.uk/,WCAG2AAA
Dr Heslop & Partners,http://www.greensands.org.uk/,WCAG2AAA
Buckden And Little Paxton Surgeries,http://www.bandlp.co.uk,WCAG2AAA
Dr Kirkham & Partners,https://www.saffronhealthpartnership.nhs.uk/,WCAG2AAA
Shefford Health Centre,http://www.sheffordhealthcentre.gpsurgery.net,WCAG2AAA
Marston Surgery - Cranfield and Marston Surgery,http://www.cranfieldandmarstonsurgery.co.uk,WCAG2AAA
Harborough Field Surgery,http://www.harboroughfieldsurgery.nhs.uk/,WCAG2AAA
Parklands Surgery,http://www.parklandssurgery.nhs.uk/,WCAG2AAA
Rushden Medical Centre,http://www.rushdenmedicalcentre.com,WCAG2AAA
Oliver Street Surgery,http://www.oliverstreetsurgery.co.uk,WCAG2AAA
Greensand Surgery (Ampthill),http://www.greensandsurgery.co.uk,WCAG2AAA
Houghton Close Surgery,http://www.houghtonclosesurgery.co.uk,WCAG2AAA
Brampton Surgery,http://www.alconburybramptonsurgery.co.uk/,WCAG2AAA
Cranfield Surgery,http://www.cranfieldandmarstonsurgery.co.uk,WCAG2AAA
Higham Ferrers Surgery,http://www.highamferrerssurgery.co.uk/,WCAG2AAA
Brookside Medical Centre,http://www.wollastonbozeatsurgery.co.uk/,WCAG2AAA
Papworth Surgery,http://www.papworthsurgery.co.uk/,WCAG2AAA
Godmanchester,http://www.romangatesurgery.nhs.uk,WCAG2AAA
The Cottons Medical Centre,http://www.thecottonsmedicalcentre.co.uk,WCAG2AAA
Sunnyhill Healthcare C.I.C,http://arleseymedicalcentre.nhs.uk,WCAG2AAA
Flitwick Surgery,http://www.flitwicksurgery.co.uk/,WCAG2AAA
Larksfield Surgery Medical Partnership,http://www.larksfieldsurgery.gpsurgery.net/webdesk/netblast/pages/index.html,WCAG2AAA
The Hicks Group Practice,http://www.charleshicksmedicalcentre.nhs.uk/,WCAG2AAA
Cobbs Garden Surgery,http://www.cobbsgardensurgery.gpsurgery.net,WCAG2AAA
Priory Fields Partnership,http://www.prioryfields.co.uk,WCAG2AAA
Spinneybrook Medical Cntr,http://www.spinneybrookmedcentre.co.uk/,WCAG2AAA
Bourn Surgery,http://www.bournsurgery.nhs.uk/,WCAG2AAA
Monkfield Medical Practice,http://www.monkfieldpractice.co.uk/,WCAG2AAA
Alconbury & Brampton Surgeries,http://www.alconburybramptonsurgery.co.uk/,WCAG2AAA
Acorn Surgery,http://www.acornsurgery.com,WCAG2AAA
Abbey Medical Practice,http://www.abbeymedical.com,WCAG2AAA
Dr Hughes & Partners,http://www.bartongroupsurgeries.co.uk/,WCAG2AAA
Dr Coulson And Partners,http://www.albanyhousemedicalcentre.co.uk,WCAG2AAA
Brooklands Health Centre,http://www.brooklandshealthcentre.nhs.uk,WCAG2AAA
The Nevells Road Surgery,http://www.nevellsroadsurgery.co.uk,WCAG2AAA
The Garden City Surgery,http://www.gardencitysurgery.org.uk,WCAG2AAA
Newport Pagnell Medical Centre,http://www.npmc.nhs.uk,WCAG2AAA
The Redwell Medical Centre,http://www.redwellmedicalcentre.co.uk,WCAG2AAA
Spring Lane Surgery,http://springlanesurgery.co.uk/,WCAG2AAA
The Meadows Surgery,http://www.themeadowssurgery.co.uk,WCAG2AAA
Woodford Branch Surgery,http://www.spinneybrookmedcentre.co.uk/,WCAG2AAA
Kingfisher Surgery,http://www.kingfishersurgery.org.uk,WCAG2AAA
Asplands Medical Centre,https://www.asplandsmedicalcentre.co.uk/,WCAG2AAA
BALDOCK SURGERY,http://www.baldocksurgery.co.uk,WCAG2AAA
Milton Keynes Village Surgery,http://www.mkvillagepractice.co.uk,WCAG2AAA
Denton Village Surgery,http://www.dentonvillagesurgery.nhs.uk,WCAG2AAA
Old Exchange Surgery,http://www.theoldexchangesurgery.co.uk,WCAG2AAA
Cromwell Place Surgery,http://www.cromwellplacesurgery.nhs.uk/,WCAG2AAA
Earls Barton Medical Centre,http://www.4mygp.info,WCAG2AAA
Regal Chambers Surgery,http://www.regalchambers.co.uk,WCAG2AAA
Bancroft Medical Centre - Courtenay House,https://bancroftmedicalcentre.co.uk,WCAG2AAA
Bancroft Medical Centre - Orford Lodge,https://bancroftmedicalcentre.co.uk/,WCAG2AAA
Spinney Surgery,http://www.spinney-surgery.org.uk,WCAG2AAA
Walnut Tree Health Centre,http://www.walnuttreehealthcentre.co.uk/,WCAG2AAA
Dr Spencer And Partners,http://www.burtonlatimermedicalcentre.co.uk/,WCAG2AAA
