"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Cromer Group Practice - Welcome</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<div id=\"loadingbar\">Loading...</div>","#loadingbar"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<p>This site uses cookies to store...</p>","#cookieLawBox > form > p"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"cookieAllowed\" value=\"yes\">","#cookieLawBox > form > p > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" value=\"Allow Cookies\">","#cookieLawBox > form > p > input:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"index.php?disclaimer=1#cookies\">Read More</a>","#cookieLawBox > form > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.php?disclaimer=1#cookies\">Read More</a>","#cookieLawBox > form > p > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"button\" onclick=\"$('#cookieLawText').css('display', 'none');\" value=\"Close\">","#cookieLawText > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" id=\"userDir\" value=\"sites/692/\">","#userDir"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" id=\"captchaMeta\" value=\"1\">","#captchaMeta"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cellspacing=\"0\" cellpadding=\"0\">\n    \n    \n    <tbody><tr>\n    ...</table>","#wrapper > table"
"WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"headerTable\" found on the web page.","error","<table id=\"headerTable\" cellpadding=\"0\" cellspacing=\"0\">\n                              ...</table>","#headerTable"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table id=\"headerTable\" cellpadding=\"0\" cellspacing=\"0\">\n                              ...</table>","#headerTable"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"../userfiles/image/LOGO2SMALL.png\" alt=\"\" width=\"300\" height=\"200\">","#headerTable > tbody > tr > td > div:nth-child(1) > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"../userfiles/image/LOGO2SMALL.png\" alt=\"\" width=\"300\" height=\"200\">","#headerTable > tbody > tr > td > div:nth-child(1) > div > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.23:1. Recommendation: change background to #4a5399.","error","<a title=\"Welcome\" href=\"welcome,58941.htm\">Welcome </a>","#menu-top > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Welcome\" href=\"welcome,58941.htm\">Welcome </a>","#menu-top > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.23:1. Recommendation: change background to #4a5399.","error","<a title=\"Appointments\" href=\"appointments,58937.htm\">Appointments </a>","#menu-top > ul > li:nth-child(2) > a"
