"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home Page Sutton Manor Surgery ...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><head>\n<meta http-equiv=\"Conten...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<iframe name=\"Sutton Manor Surgery\" id=\"InlineFrame2\" style=\"position:absolute;left:0px;top:6px;width:1029px;height:269px;z-index:5;border:1px #282828 solid;\" src=\"http://www.suttonmanorsurgery.nhs.uk/suttonmanorheader.html\" scrolling=\"no\" frameborde...","#InlineFrame2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe name=\"Sutton Manor Surgery\" id=\"InlineFrame2\" style=\"position:absolute;left:0px;top:6px;width:1029px;height:269px;z-index:5;border:1px #282828 solid;\" src=\"http://www.suttonmanorsurgery.nhs.uk/suttonmanorheader.html\" scrolling=\"no\" frameborde...","#InlineFrame2"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smonlineservicesx.html\"><img src=\"images/bv06581.png\" i...</a>","#bv_Shape1 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smonlineservicesx.html\"><img src=\"images/bv06581.png\" i...</a>","#bv_Shape1 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/bv06581.png\" id=\"Shape1\" alt=\"\" title=\"\" style=\"border-width:0;width:304px;height:271px\">","#Shape1"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smhome.html\"><img src=\"images/bv06582.png\" i...</a>","#bv_Shape2 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smhome.html\"><img src=\"images/bv06582.png\" i...</a>","#bv_Shape2 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/bv06582.png\" id=\"Shape2\" alt=\"\" title=\"\" style=\"border-width:0;width:304px;height:271px\">","#Shape2"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smvideo.html\"><img src=\"images/bv08815.png\" i...</a>","#bv_Shape3 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smvideo.html\"><img src=\"images/bv08815.png\" i...</a>","#bv_Shape3 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/bv08815.png\" id=\"Shape3\" alt=\"\" title=\"\" style=\"border-width:0;width:304px;height:271px\">","#Shape3"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smvideo.html\"><img src=\"images/bv08906.png\" i...</a>","#bv_ClipArt1 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.suttonmanorsurgery.nhs.uk/smvideo.html\"><img src=\"images/bv08906.png\" i...</a>","#bv_ClipArt1 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/bv08906.png\" id=\"ClipArt1\" alt=\"\" title=\"\" style=\"border-width:0;width:65px;height:66px\">","#ClipArt1"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table summary=\"main menu\" cellpadding=\"0\" border=\"0\" cellspacing=\"0\" class=\"ThemeMenuBar4MenuOuter\"><tbody><tr><td><table class=\"Th...</table>","#MenuIDMenuBar4 > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H73.3.LayoutTable","This table appears to be used for layout, but contains a summary attribute. Layout tables must not contain summary attributes, or if supplied, must be empty.","error","<table summary=\"main menu\" cellpadding=\"0\" border=\"0\" cellspacing=\"0\" class=\"ThemeMenuBar4MenuOuter\"><tbody><tr><td><table class=\"Th...</table>","#MenuIDMenuBar4 > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(1) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,0)\" onmousedown=\"cmItemMouseDown (this,1,null,0,0)\" onmouseout=\"cmItemMouseOut (this,1,null,0,0)\" onmouseup=\"cmItemMouseUp (this,1,null,0,0)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,0)\" onmousedown=\"cmItemMouseDown (this,1,null,0,0)\" onmouseout=\"cmItemMouseOut (this,1,null,0,0)\" onmouseup=\"cmItemMouseUp (this,1,null,0,0)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,0)\" onmousedown=\"cmItemMouseDown (this,1,null,0,0)\" onmouseout=\"cmItemMouseOut (this,1,null,0,0)\" onmouseup=\"cmItemMouseUp (this,1,null,0,0)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,0)\" onmousedown=\"cmItemMouseDown (this,1,null,0,0)\" onmouseout=\"cmItemMouseOut (this,1,null,0,0)\" onmouseup=\"cmItemMouseUp (this,1,null,0,0)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(1) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Home</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(1) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(2) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,1)\" onmousedown=\"cmItemMouseDown (this,1,null,0,1)\" onmouseout=\"cmItemMouseOut (this,1,null,0,1)\" onmouseup=\"cmItemMouseUp (this,1,null,0,1)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,1)\" onmousedown=\"cmItemMouseDown (this,1,null,0,1)\" onmouseout=\"cmItemMouseOut (this,1,null,0,1)\" onmouseup=\"cmItemMouseUp (this,1,null,0,1)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,1)\" onmousedown=\"cmItemMouseDown (this,1,null,0,1)\" onmouseout=\"cmItemMouseOut (this,1,null,0,1)\" onmouseup=\"cmItemMouseUp (this,1,null,0,1)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,1)\" onmousedown=\"cmItemMouseDown (this,1,null,0,1)\" onmouseout=\"cmItemMouseOut (this,1,null,0,1)\" onmouseup=\"cmItemMouseUp (this,1,null,0,1)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(2) > table > tbody > tr"
